Patent/Practical Model,Title,Abstract,Claim,Number of Claims,Application Number,Application Date,Year,Public Number,Public Date,Registeration Number,Registeration Date,Applicant,Inventor,Original CPC All,CPC,WIPS ON key
P,Electronic stethoscope system for telemedicine applications,"An electronic stethoscope includes a housing configured for hand-held manipulation, a transducer supported by the housing and configured to sense auscultation signals at a first location, and a headset coupled to the housing and configured to deliver audio corresponding to the auscultation signals through earpieces on the headset. The electronic stethoscope further includes a processor disposed in the housing and configured to convert the auscultation signals to first digital signals representative of the auscultation signals and to wirelessly transmit the first digital signals from the electronic stethoscope via a secure digital network to a second location such that the audio corresponding to the auscultation signals is provided to headsets of one or more additional electronic stethoscopes at the second location in substantial real time with the sensing of the auscultation sounds at the first location.","1. A telemedicine system comprising: a first electronic stethoscope comprising a housing configured for hand-held manipulation, a transducer that senses auscultation signals at a first location, and a headset that delivers audio corresponding to the auscultation signals through earpieces on the headset, the first electronic stethoscope further comprising a processor that converts the auscultation signals to digital signals representative of the auscultation signals and an antenna to wirelessly transmit the digital signals to a second location via a secure digital network; anda second electronic stethoscope comprising a housing configured for hand-held manipulation, a transducer, and a headset that delivers audio through earpieces on the headset, the second electronic stethoscope further comprising an antenna to receive the digital signals representative of the auscultation signals at the second location via the secure digital network, and a processor to convert the digital signals to audio corresponding to the auscultation signals and deliver the audio through earpieces on the headset of the second electronic stethoscope in substantial real time with the sensing of the auscultation sounds at the first location,wherein the transducer on the first electronic stethoscope further receives ambient audio at the first location and the transducer on the second electronic stethoscope further receives ambient audio at the second location, and wherein the ambient audio is transmitted wirelessly between the first and second locations via the secure digital network.",13,12/910086,2010-10-22,2010,2011-0190665,2011-08-04,9204856,2015-12-08,3M Innovative Properties Company,William  Bedingham | Craig D.  Oster | Daniel J.  Rogers,A61B-0007/04,A61B,4.92E+12
P,System and method for remote tele-health services,"A tele-health services cabin includes a plurality of vital signs monitoring devices, a cabin management unit, and videoconferencing hardware via which a remote practitioner in a remote medical call center videoconferences with a patient in the cabin to diagnose symptoms of the patient. The cabin management unit includes a processor that controls the cabin, a data input at which patient data is provided from the vital signs monitoring devices, and a transmitter connectable to a communication link for bi-directional communication between the cabin management unit and the medical call center, where the transmitter transmits the patient data to the medical call center. The tele-health services cabin may include a patient chair including a motorized seat back and at least one sensor encapsulated in the seat back. The tele-health services cabin may include a hands-free medical device station. The tele-health services cabin may include an automatic cleaning system.","1. A tele-health services cabin comprising: a patient chair comprising: a motorized seat back,a plurality of stethoscope sensors encapsulated in the seat back;a switch matrix connected to the plurality of stethoscope sensors;a block having a plurality of openings and configured to shield the plurality of stethoscope sensors from interference, wherein each of the plurality of stethoscope sensors is disposed proximate to an opening of the plurality of openings so as to detect audio signals from a patient's back through the opening;a processor that communicates with a remote medical call center via a bi-directional communication link, wherein the processor carries out steps comprising: under the control of a remote practitioner at a remote medical call center, activating, via the switch matrix, at least one stethoscope sensor of the plurality of stethoscope sensors;receiving audio signals from the activated stethoscope sensor;transmitting the audio signals over the communication link to the remote medical call center, wherein remote practitioner accesses the audio signals; andvideoconferencing hardware via which the remote practitioner in the medical call center videoconferences with the patient in the cabin to diagnose symptoms of the patient.",6,14/098223,2013-12-05,2013,2014-0095196,2014-04-03,9208287,2015-12-08,"VIDEOKALL, INC.",Vincent  Waterson | David  Sturgess,G06F-0019/3418 | G06F-0019/3425 | G06F-0019/366 | G06Q-0010/10 | G06F-0019/3456 | G06Q-0050/22,G06F,4.92E+12
P,Multi-camera mobile teleconferencing platform,A remote controlled robot system that includes a mobile robot and a remote control station. A user can control movement of the robot from the remote control station. The mobile robot includes a camera system that can capture and transmit to the remote station a zoom image and a non-zoom image. The remote control station includes a monitor that displays a robot view field. The robot view field can display the non-zoom image. The zoom image can be displayed in the robot view field by highlighting an area of the non-zoom field. The remote control station may also store camera locations that allow a user to move the camera system to preset locations.,"1. A remote controlled robot system, comprising: a robot with a camera system that can capture a zoom image and a non-zoom image, the field of view of said non-zoom image includes the field of view of said zoom image; and,a remote control station that transmits commands to control said robot, said remote control station includes a monitor that displays only one image including the field of view of said zoom image at a time and a graphical user interface function that switches said monitor to display said zoom image or said non-zoom image, said graphical user interface function includes a highlighted area created with input from a user that is smaller than said non-zoom image, and said camera system of said robot moves to point at a center of said highlighted area to capture said zoom image.",8,11/240941,2005-09-30,2005,2007-0078566,2007-04-05,9198728,2015-12-01,"INTOUCH TECHNOLOGIES, INC.",Yulun  Wang | Charles S.  Jordan | Marco  Pinter | Jonathan  Southard | John Cody  Herzog | Keith Phillip  Laby,A61B-0019/22 | G06F-0019/3437 | H04N-0007/185 | A61B-0019/2203 | A61B-0019/5212 | A61B-0019/56 | A61B-2019/223 | G06F-0019/3418,A61B,4.92E+12
P,Monitor Defibrillator Telemedicine Server,"A system and device (200) which combines a defibrillator, patient monitor and a telemedicine server is described. The device enables a method whereby an external system or remote station may ¡°pull¡± data from the device without the need for operator action or intervention. Safety-critical and non-safety-critical features in the device (200) are maintained separate by a firewall circuit (240) such that the remote station cannot write data to the device.","1. A monitor defibrillator having an integrated telemedicine server, the integrated monitor defibrillator telemedicine server comprising: a patient monitoring circuit;a defibrillation therapy circuit;a clinical processor operable to collect patient data from the patient monitoring circuit and the defibrillation therapy circuit;a memory operable to receive the patient data from the clinical processor and to store the received patient data in a generic file format;a communications interface disposed in read-only communication with the memory and further operable to transmit the patient data in the generic file format to a remote station;a firewall circuit disposed between the memory and the communications interface and operable to prevent a writing of any data received from the communications interface to the memory; anda unitary housing for containing each of the patient monitoring circuit, the defibrillation therapy circuit, the clinical processor, the memory, the communications interface, and the firewall circuit.",20,14/655927,2013-12-26,2013,2015-0335244,2015-11-26,,,KONINKLIJKE PHILIPS N.V.,Patrick  GUINEY | Mashood Puthan Beetil  ILLIKKAL | William Douglas  GRUBE | Todd  LANDER,A61B-0005/0022 | H04L-0067/06 | H04L-0063/0245 | A61B-0005/0006 | A61B-0005/686,A61B,5.42E+12
P,DOCUMENTATION THROUGH A REMOTE PRESENCE ROBOT,"A robotic system that is used in a tele-presence session. For example, the system can be used by medical personnel to examine, diagnose and prescribe medical treatment in the session. The system includes a robot that has a camera and is controlled by a remote station. The system further includes a storage device that stores session content data regarding the session. The data may include a video/audio taping of the session by the robot. The session content data may also include time stamps that allow a user to determine the times that events occurred during the session. The session content data may be stored on a server that accessible by multiple users. Billing information may be automatically generated using the session content data.","1. A robotic system, comprising: a robot that has a camera;a remote station that controls said robot in a session that results in session content data;a storage device that stores said session content data.",29,14/472277,2014-08-28,2014,2015-0339452,2015-11-26,,,"InTouch Technologies, Inc.",Timothy C.  Wright | Fuji  Lai | Marco  Pinter | Yulun  Wang,G06F-0019/3418 | G06F-0019/321 | G06F-0019/328 | H04N-0007/185,G06F,5.42E+12
P,Docking system for a tele-presence robot,"A remote controlled robot system that includes a mobile robot with a robot camera and a battery plug module, and a remote control station that transmits commands to control the mobile robot. The system also includes a battery charging module that mates with the mobile robot battery plug module, and an alignment system that aligns the battery plug module with the battery charging module. The battery modules may also be aligned with the aid of video images of the battery charging module provided to the remote station by a camera located within the battery plug module.","1. A remote controlled robot system, comprising: a mobile robot with a robot camera, a plug module including a plurality of electrical contacts, and a movement platform;a remote control station that transmits commands to control said mobile robot;a charging module that mates with said plug module, wherein said plug module can pivot relative to said robot about a vertical axis; and,an alignment system that aligns said plug module with said charging module, said charging module includes a sensor in said plug module.",9,12/218259,2008-07-10,2008,2010-0010672,2010-01-14,9193065,2015-11-24,"INTOUCH TECHNOLOGIES, INC.",Yulun  Wang | Charles S.  Jordan | Marco  Pinter | Daniel Steven  Sanchez | James  Rosenthal | Amante  Mangaser,B25J-0005/00 | B25J-0019/005 | G05D-0001/0225 | G05D-0001/0242 | G05D-2201/0206 | H02J-0007/0042,B25J,4.92E+12
P,REMOTE HEALTHCARE DATA-GATHERING AND VIEWING SYSTEM AND METHOD,"A medical data collection system for gathering medical data from an individual when the individual is located remotely from a healthcare professional includes at least in part an aggregation device is used at the patient remote site for collecting medical data/information from various medical devices. The aggregation device sends the recorded medical data using a Service Oriented Architecture (SOA) web service/application to a network. A video conference system is also located at the remote site. A healthcare provider can access the medical data in real time or from the optional data storage device while the data is being captured from the patient at any time in the future if the data is stored using a personal computer or handheld device such as a notebook, Ipad, smart phone or the like that is capable of running a browser that can consume the medical record service provided by the aggregation device.","1. A system for collecting medical data directly from a patient and for making the collected medical data available over a network connection to one or more medical personnel using a display device capable of operating a web browser/application and located remotely from said patient, said system comprising: one or more real-time medical data gathering devices, configured for obtaining predetermined physiological data from said patient;a medical information gathering device aggregation apparatus, electronically coupled to each of said one or more medical data gathering devices, and configured for receiving predetermined physiological data from each said one or more electronically coupled medical data gathering devices, and responsive to said received medical data, for providing a real time consumable web service/application including said received predetermined physiological data to a network connection to a location remote from said patient;an audio/video conference system including at least one of an audio and a video data acquiring device located proximate said patient, and configured for gathering, processing and transmitting audio and/or video data to said network connection to a location remote from said patient; and one or more display devices, located remotely from said patient and said one or more medical information gathering devices, said medical information gathering device aggregation apparatus and said audio/video conference system, and configured for being coupled to said network, said one or more display devices configured for receiving and consuming said real time consumable web service/application including said medical data provided by said medical data gathering device aggregation apparatus and said transmitted audio and/or video data, and for simultaneously displaying said medical data and said audio and/or video data.",15,14/714932,2015-05-18,2015,2015-0324526,2015-11-12,,,"AMD Global Telemedicine, Inc.",John E.  Cambray | Daniel J.  McCafferty | Jarongom Manny  Lertpatthanakul | Nelson  Vicente,G06F-0019/322 | G06F-0019/3418,G06F,5.42E+12
P,Social behavior rules for a medical telepresence robot,"Devices, systems, and methods for social behavior of a telepresence robot are disclosed herein. A telepresence robot may include a drive system, a control system, an object detection system, and a social behaviors component. The drive system is configured to move the telepresence robot. The control system is configured to control the drive system to drive the telepresence robot around a work area. The object detection system is configured to detect a human in proximity to the telepresence robot. The social behaviors component is configured to provide instructions to the control system to cause the telepresence robot to operate according to a first set of rules when a presence of one or more humans is not detected and operate according to a second set of rules when the presence of one or more humans is detected.","1. A telepresence robot comprising: a drive system configured to move the telepresence robot;a control system configured to control the drive system to drive the telepresence robot around a work area;a status determination system configured to determine a current status for one or both of the telepresence robot and a human; anda social path component configured to provide instructions to the control system to cause the telepresence robot to maintain a socially acceptable distance from humans, the socially acceptable distance based on the current status,wherein the status determination system is configured to determine that the current status of the robot comprises a presence of the human,wherein the social path component maintains a socially acceptable distance from the human by avoiding a lockout zone surrounding the human,wherein the status determination system comprises a human classification component configured to determine a classification of a human, andwherein the social path component determines the lockout zone based on the classification of the human.",23,14/550743,2014-11-21,2014,2015-0088310,2015-03-26,9174342,2015-11-03,"INTOUCH TECHNOLOGIES, INC. | IROBOT CORPORATION",Marco  Pinter | Fuji  Lai | Daniel Steven  Sanchez | James  Ballantyne | David Bjorn  Roe | Yulun  Wang | Charles S.  Jordan | Orjeta  Taka | Cheuk Wah  Wong,B25J-0009/1676 | G06F-0019/3418 | G06Q-0050/22 | Y10S-0901/01 | Y10S-0901/47 | Y10S-0901/49,B25J,4.92E+12
P,Interfacing with a mobile telepresence robot,"A telepresence robot may include a drive system, a control system, an imaging system, and a mapping module. The mapping module may access a plan view map of an area and tags associated with the area. In various embodiments, each tag may include tag coordinates and tag information, which may include a tag annotation. A tag identification system may identify tags within a predetermined range of the current position and the control system may execute an action based on an identified tag whose tag information comprises a telepresence robot action modifier. The telepresence robot may rotate an upper portion independent from a lower portion. A remote terminal may allow an operator to control the telepresence robot using any combination of control methods, including by selecting a destination in a live video feed, by selecting a destination on a plan view map, or by using a joystick or other peripheral device.","1. A telepresence robot system local terminal comprising: an electronic display;a processor in communication with the electronic display;a memory in communication with the processor, the memory comprising instructions executable by the processor configured to cause the processor to: retrieve at least a portion of a plan view map representative of a facility;receive a video feed from an imaging system of a remote telepresence robot at a first perspective;receive positioning data associated with a current position of the remote telepresence robot relative to the plan view map;display the video feed from the imaging system of the remote telepresence robot and the plan view map; andtransmit a command to the remote telepresence robot specifying a movement for the remote telepresence robot; anda user input device in communication with the processor, the user input device configured to enable a user to select a movement for the remote telepresence robot via any of at least two options on a single user interface, the at least two options comprising: selecting a destination of the remote telepresence robot with respect to the video feed; andselecting a destination of the remote telepresence robot with respect to the plan view map;wherein the selection of the movement comprises selecting a point on the plan view map, and wherein selecting a point on the plan view map results in an alternative perspective of the video feed.",21,14/799450,2015-07-14,2015,2015-0314449,2015-11-05,9168656,2015-10-27,"INTOUCH TECHNOLOGIES, INC. | IROBOT CORPORATION",Yulun  Wang | Charles S.  Jordan | Tim  Wright | Michael  Chan | Marco  Pinter | Kevin  Hanrahan | Daniel  Sanchez | James  Ballantyne | Cody  Herzog | Blair  Whitney | Fuji  Lai | Kelton  Temby | Eben Christopher  Rauhut | Justin H.  Kearns | Cheuk Wah  Wong | Timothy Sturtevant  Farlow,B25J-0009/1689 | B25J-0009/1697 | B25J-0011/009 | G05D-0001/0038 | G05D-0001/0274 | G06F-0019/3418 | G05D-2201/0206 | Y10S-0901/01 | Y10S-0901/47,B25J,4.92E+12
P,Interfacing With A Mobile Telepresence Robot,"A telepresence robot may include a drive system, a control system, an imaging system, and a mapping module. The mapping module may access a plan view map of an area and tags associated with the area. In various embodiments, each tag may include tag coordinates and tag information, which may include a tag annotation. A tag identification system may identify tags within a predetermined range of the current position and the control system may execute an action based on an identified tag whose tag information comprises a telepresence robot action modifier. The telepresence robot may rotate an upper portion independent from a lower portion. A remote terminal may allow an operator to control the telepresence robot using any combination of control methods, including by selecting a destination in a live video feed, by selecting a destination on a plan view map, or by using a joystick or other peripheral device.","1. A telepresence robot, comprising: an upper portion;a lower portion rotatably connected to the upper portion;a drive system configured to move the telepresence robot according to drive instructions;a control system in communication with the drive system, the control system configured to generate drive instructions to cause the drive system to move the telepresence robot; anda rotation system configured to rotate the robot from a first heading to a second heading by rotating the upper portion and the lower portion independently.",9,14/620051,2015-02-11,2015,2015-0298317,2015-10-22,,,IROBOT CORPORATION | INTOUCH HEALTH,Yulun  Wang | Charles S.  Jordan | Tim  Wright | Michael  Chan | Marco  Pinter | Kevin  Hanrahan | Daniel  Sanchez | James  Ballantyne | Cody  Herzog | Blair  Whitney | Fuji  Lai | Kelton  Temby | Eben Christopher  Rauhut | Justin H.  Kearns | Cheuk Wah  Wong | Timothy Sturtevant  Farlow,B25J-0009/1689 | B25J-0011/009 | G05D-0001/0038 | Y10S-0901/01 | Y10S-0901/47,B25J,5.42E+12
P,TELEHEALTH SYSTEM AND PROCESS,A telehealth system and process including a telehealth cart having one or more processors configured to execute computer-executable instructions; a video interface; an audio interface; a vital sign unit; and one or more medical devices connected to the vital sign unit; a patient located proximate to the telehealth cart; a nurse located proximate to the telehealth cart and the patient; a remote physician at a location distal from the patient and the nurse; where the remote physician establishes a secure connection to the telehealth cart and interacts with the patient via the video interface and the audio interface of the telehealth cart; and where the nurse uses at least one of the one or more medical devices on the patient at the direction of the remote physician.,"1. A system comprising: a telehealth cart comprising: one or more processors configured to execute computer-executable instructions;a video interface;an audio interface;a vital sign unit; andone or more medical devices connected to the vital sign unit;wherein the system enables a remote physician, at a location remote from a patient and a nurse located proximate to the telehealth cart, to interact with the patient;wherein the system enables the remote physician to establish a secure connection to the telehealth cart and interact with the patient via the video interface and the audio interface of the telehealth cart; andwherein the system enables the nurse to apply at least one of the one or more medical devices to the patient at the direction of the remote physician.",17,14/683816,2015-04-10,2015,2015-0294079,2015-10-15,,,Pierre R. Bergougnan,Pierre R.  Bergougnan,G06F-0019/3418 | G06Q-0050/22 | G06F-0019/3456,G06F,5.42E+12
P,Robot system that operates through a network firewall,A remote controlled robot system that includes a robot and a remote control station that communicate through a communication network. Communication with the robot is limited by a firewall coupled to the communication network. A communication server establishes communication between the robot and the remote control station so that the station can send commands to the robot through the firewall.,"1. A remote controlled robot system that is coupled to a communication network, comprising: a remote control station that transmits a robot control command;a robot that includes a monitor and a camera, and moves in response to said robot control command;a communication server that establishes a communication between said remote control station and said robot for a designated time period that defines an entire allowable time interval in which said remote control station can control said robot.",22,11/801491,2007-05-09,2007,2008-0281467,2008-11-13,9160783,2015-10-13,"INTOUCH TECHNOLOGIES, INC.",Marco  Pinter,H04L-0067/025 | H04L-0063/029,H04L,4.92E+12
P,"SYSTEM, APPLICATION AND METHOD FOR MANAGING PATIENT CARE COORDINATION","A system coordinates patient transitions of care and manages a patient's care from diagnosis to solution no matter how long it takes or how many healthcare providers are involved during the continuum of care. The system brings all of the people interactions into a protected, access-controlled environment that allows a patient's entire continuum of care, inclusive of diagnostic and demographic data, documentation, forms, communication and collaboration, as well as a patient's transition of care, to be coordinated among as many healthcare providers as are needed for as long as needed. The system replaces many of the manual steps currently performed with automated tools, notifications and reminders. The system includes a telehealth module allowing for video connections among provider, patients, staff and the like.","1. A computer-implemented method, written as a programmable code, stored on a computer readable medium, and adapted to manage referral of patients, the method comprising: signing into a computer system as a sending provider agent, the computer system having a plurality of provider agents registered therewith;searching a master patient index database for a patient to be referred;selecting a receiving provider agent to refer the patient;electronically sending, through the computer system, information on the patient to be referred;receiving, by the receiving provider agent, through the computer system, the information on the patient to be referred; andentering, by the receiving provider agent, a final report concerning the patient, the final report viewable by the sending provider agent.",12,14/227229,2014-03-27,2014,2015-0278975,2015-10-01,,,Larry D. ALLEN,Larry D.  ALLEN,G06Q-0050/24 | G06Q-0010/10 | G06F-0019/322,G06Q,5.42E+12
P,Server connectivity control for tele-presence robot,"A robot system with a robot that has a camera and a remote control station that can connect to the robot. The connection can include a plurality of privileges. The system further includes a server that controls which privileges are provided to the remote control station. The privileges may include the ability to control the robot, joint in a multi-cast session and the reception of audio/video from the robot. The privileges can be established and edited through a manager control station. The server may contain a database that defines groups of remote control station that can be connected to groups of robots. The database can be edited to vary the stations and robots within a group. The system may also allow for connectivity between a remote control station at a user programmable time window.","1. A remote controller robot system, comprising: a robot that has a robot camera and a robot monitor;a remote control station that has a station camera and a station monitor and can connect to said robot; and,a server that controls connectivity between said remote control station and said robot, said connectivity is enabled during a user pre-programmed time window that includes a pre-programmed end time, said connectivity is not enabled outside said user pre-programmed time window, wherein a user of said remote control station can connect said remote control station to said robot during said pre-programmed time window and cannot connect said remote control station to said robot outside said pre-programmed time window, and when said robot and said remote control station are connected, said robot monitor displays an image captured by said station camera and said station monitor displays an image captured by said robot camera.",5,12/277922,2008-11-25,2008,2010-0131102,2010-05-27,9138891,2015-09-22,"INTOUCH TECHNOLOGIES, INC.",John Cody  Herzog | Blair  Whitney | Yulun  Wang | Charles S.  Jordan | Marco  Pinter,B25J-0005/00 | B25J-0009/1689 | B25J-0019/023 | G05D-0001/0038 | G05D-0001/0246 | G05B-2219/24158 | G05D-0001/0274 | G05D-2201/0206,B25J,4.92E+12
P,"TELEMEDICINE SYSTEM FOR REMOTE CONSULTATION, DIAGNOSIS AND MEDICAL TREATMENT SERVICES","The invention relates to a telemedicine system including improved methods, systems and techniques for providing remote consultation, diagnosis and/or medical treatment. Said system uses a Basic Telemedicine Unit BTU and Specialist Telemedicine Unit STU comprising the simultaneous and independent display, on the local interface and on the remote interface, of all of the patient-related audio, video, biomedical data signals and clinical data, the concurrent annotation of images and videos, and processing for the protection of the personal data of the patients.","33. A telemedicine system to provide remote consultation, diagnosis and/or medical treatment, comprising: a basic telemedicine unit BTU (120) that includes a system for entry of medical device signals, a memory/processing module (124) based on software and/or hardware, and a communication system (126) to process, convert, transmit and receive audio, video and data signals to and from one or more remote stations;at least one remote specialized telemedicine unit STU (140) in communication of information flow with the basic telemedicine unit, which comprises devices capable of transmitting and receiving audio, video and data, either directly or indirectly, to or from the basic telemedicine unit;one or more medical devices (110) connected to the BTU for collecting information about the medical condition of the patient; andone or more means (130) for storage, encryption and protection of patient information in flow communication with the basic telemedicine unit and the remote telemedicine unit;said memory/processing module (124) comprises a telemedicine operation system (200) including a system configuration module (210) configured with a system (212) for capturing audio, video and data and receiving and filtering information from the medical devices connected to the basic telemedicine unit BTU, which system (212) detects the type of received signal, and a data management system (214) configured for the multiplication and simultaneous handling of all the signals generated by the medical devices; a communication management system (220) configured to send and receive information between the BTU and the STU through the communication system (126); said management system transmits the signals generated by the connected medical devices (110) and various input signals related to the BTU (120) to the remote sites STU (140), and to receive from the STUs audio, video and data signs related to the process of remote medical consultation of a patient; and a user interface (230);said telemedicine system is characterized by allowing the signals of medical devices (110) connected to the basic telemedicine unit (120) BTU, and patient information, are displayed simultaneously and independently on a local interface and a remote interface, and allowing annotations on generated pictures and videos to facilitate the process of medical consultation of the patient.",11,14/433257,2013-04-02,2013,2015-0261930,2015-09-17,,,Fernando Pablo Jose Espinosa Escalona | Carlos Guillermo Iglesias Ramos | Alan Morales Medel,Fernando Pablo Jose  Espinosa Escalona | Carlos Guillermo  Iglesias Ramos | Alan  Morales Medel,G06F-0019/3418 | H04L-0067/12,G06F,5.42E+12
P,MODULAR TELEMEDICINE ENABLED CLINIC,"A modular medical clinic system that includes a patient check in module 10 for receiving patient data, the patient check in module 10 including video and audio input systems for delivering information to an information collection personnel 120 and a display module 30 for depicting a medical care provider 130 in real time to the patient within the modular medical clinic 100 and depicting the patient in real time to the remote medical care provider 130 during a medical diagnosis of the patient. The modular medical clinic system also includes an interface with inventory supply personnel and systems 140, and an interface with an operations personnel and systems 150.","1. A modular medical clinic system for providing medical diagnostics comprising: a patient check in module comprising an interface for receiving patient data from a patient, the patient check in module including video and audio systems for live communication with a remote information collection personnel;a display module comprising a video display interface for depicting a remote provider in real time to the patient within the modular medical clinic and depicting the patient in real time to the remote provider; andan inventory supply module with an inventory interface for receiving data on supplies used in the modular medical clinic.",22,14/436834,2013-10-21,2013,2015-0248536,2015-09-03,,,Jack TAWIL | Margaret TAWIL | Dov SANDBERG,Jack  Tawil | Margaret  Tawil | Dov  Sandberg,G06F-0019/3418 | G06F-0019/345,G06F,5.42E+12
P,FLUID ANALYSIS DEVICE AND RELATED METHOD,"A device and method for analyzing characteristics of a fluid. The device is a bolus arranged to remain within the fluid for the analysis. The bolus includes a sensor module, a fluid analysis module, a fluid pumping module and a control and data transmission module. The sensor module includes a transducer element to generate acoustic signals and convert acoustic signals. The information derived from generating and receiving acoustic signals is used to obtain information about constituents and conditions of the fluid. That information may be transferred to a near or remote location for analysis. The device and analysis method are suitable for evaluating the health of animals. The device may be used in a telemedicine environment at an animal health facility. It may also be uploaded to a database for use in the analysis of a group of sources of fluid, such as a herd of cows.","1. A device for analyzing characteristics of a fluid, wherein the device is arranged to be located within the fluid, the device comprising: a. a sensor module including a transducer element configured to convert sounds associated with the fluid into electrical signals;b. a fluid analysis module configured to analyze the characteristics of the fluid based on information output by the sensor module;c. a fluid pumping module configured to move the fluid with respect to the sensor module, wherein the fluid analysis module is connected to the fluid pumping module; andd. a control and data transmission module electrically coupled to the fluid analysis module, wherein the control and data transmission module is configured to output information from the fluid analysis module to a receiver.",15,14/708682,2015-05-11,2015,2015-0241392,2015-08-27,,,"VITAL HERD, INC.",Karim M.  Gabriel | Brian F.  Walsh,G01N-0029/02 | A61B-0005/073 | A61B-0007/008 | A61B-0005/14507 | G01N-0029/2437 | G01N-2291/101 | G01N-2291/022 | G01N-2291/02466 | G01N-2291/02433,G01N,5.42E+12
P,METHODS OF USING TELEMEDICINE TO INCREASE USAGE OF HEALTH CARE SYSTEMS,"The present invention provides methods for attracting consumers to a medical care system. The methods include presenting a first communication to a consumer, wherein the communication provides an offer for access to a telemedicine session and provides instructions for the consumer to electronically access additional information regarding the telemedicine session; requesting personal information from the consumer when the consumer follows the instructions to electronically access additional information regarding the telemedicine session; and providing information to the consumer regarding access to medical care in a medical care system when the consumer provides the requested personal information.","1. A method of attracting consumers to a medical care system comprising: a) presenting a first communication to a consumer, wherein the communication provides an offer for access to a telemedicine session and provides instructions for the consumer to electronically access additional information regarding the telemedicine session;b) requesting personal information from the consumer when the consumer follows the instructions to electronically access additional information regarding the telemedicine session; andc) providing information to the consumer regarding access to medical care in a medical care system when the consumer provides the requested personal information, thereby attracting consumers to a medical care system.",20,14/486301,2014-09-15,2014,2015-0220695,2015-08-06,,,"Carena, Inc.",Amber  Ratcliffe | Peggy A.  Carver,G06F-0019/3418 | G06F-0019/322 | G06F-0019/328 | G06Q-0030/0255 | G06Q-0030/0269,G06F,5.42E+12
P,Enhanced video interaction for a user interface of a telepresence network,"A telepresence device may relay video, audio, and/or measurement data to a user operating a control device. A user interface may permit the user to quickly view and/or understand temporally and/or spatially disparate information. The telepresence device may pre-gather looped video of spatially disparate areas in an environment. A temporal control mechanism may start video playback at a desired point in a current or historical video segment. Notations may be associated with time spans in a video and recalled by capturing an image similar to a frame in the time span of the video. An area of interest may be selected and video containing the area of interest may be automatically found. Situational data may be recorded and used to recall video segments of interest. The telepresence device may synchronize video playback and movement. A series of videos may be recorded at predetermined time intervals to capture visually trending information.","1. A non-transitory computer-readable storage medium including computer-readable instruction code for performing a method of generating pre-session video loops, the method comprising: receiving, at a telepresence device, an indication to navigate to an indicated location;adjusting a camera on the telepresence device to identify one or more areas of interest at the indicated location;sequentially targeting each area of interest with the camera;recording video of each area of interest for a predetermined time period; andtransmitting the recorded video to a remotely located control device, wherein the one or more areas of interest contain an object selected from the group consisting of a patient's face, an EKG monitor, a chart, and a fluid bag.",33,13/830334,2013-03-14,2013,2014-0267549,2014-09-18,9098611,2015-08-04,"INTOUCH TECHNOLOGIES, INC.",Marco  Pinter | Charles S.  Jordan | Daniel  Sanchez | Kevin  Hanrahan | Chris  Lambrecht | Kelton  Temby,G06F-0019/3418 | H04N-0007/142 | H04N-0007/147 | H04N-0007/185,G06F,4.92E+12
